fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
4778,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4779,173,2006,25,3,Glacier,,pink,35,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4780,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4781,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4782,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4783,173,2006,25,3,Glacier,,pink,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4784,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4785,173,2006,25,3,Glacier,,pink,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4786,173,2006,25,3,Glacier,,pink,36,,,,,,,,0,,,,,,,,,,,,,,,,,,
4787,173,2006,25,3,Glacier,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4788,173,2006,25,3,Glacier,,pink,37,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4789,173,2006,25,3,Glacier,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4790,173,2006,25,3,Glacier,,pink,37,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4791,173,2006,25,3,Glacier,,pink,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4792,173,2006,25,3,Glacier,,pink,38,,1,,,,,,0,,1,,,,,,,,,,,,,,,,
4793,173,2006,25,3,Glacier,,pink,38,,2,,,,,,0,,,,,,,,,,,,,,,,,,
4794,173,2006,25,3,Glacier,,pink,38,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4795,173,2006,25,3,Glacier,,pink,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4796,173,2006,25,3,Glacier,,pink,39,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4797,173,2006,25,3,Glacier,,pink,39,,,,,,,,0,,,,,,,,,,,,,,,,,,
4798,173,2006,25,3,Glacier,,pink,40,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4799,173,2006,25,3,Glacier,,pink,40,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4800,173,2006,25,3,Glacier,,pink,40,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4801,173,2006,25,3,Glacier,,pink,40,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4802,173,2006,25,3,Glacier,,pink,40,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4803,173,2006,25,3,Glacier,,pink,41,,1,2,,,,,0,,,,,,,,,,,,,,,,,,
4804,173,2006,25,3,Glacier,,pink,41,,,4,,,,,0,,,,,,,,,,,,,,,,,,
4805,173,2006,25,3,Glacier,,pink,41,,,,,,,,0,,,,,,,,,,,,,,,,,,
4806,173,2006,25,3,Glacier,,pink,42,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4807,173,2006,25,3,Glacier,,pink,42,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4808,173,2006,25,3,Glacier,,pink,42,,1,,,,,,0,,,,,,,,,,,,,,,1,,,blotchy blue on one side above lat. Line
4809,173,2006,25,3,Glacier,,pink,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4810,173,2006,25,3,Glacier,,pink,42,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4811,173,2006,25,3,Glacier,,pink,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4812,173,2006,25,3,Glacier,,pink,42,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4813,173,2006,25,3,Glacier,,pink,43,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4814,174,2006,28,3,Burdwood,,chum,33,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4815,174,2006,28,3,Burdwood,,chum,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4816,174,2006,28,3,Burdwood,,chum,35,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4817,174,2006,28,3,Burdwood,,chum,36,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4818,174,2006,28,3,Burdwood,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4819,174,2006,28,3,Burdwood,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4820,174,2006,28,3,Burdwood,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4821,174,2006,28,3,Burdwood,,chum,38,,,1,,,,,0,,,,,,,,,,,,,,,,,,
4822,174,2006,28,3,Burdwood,,chum,39,,,,,,,,0,,,,,,,,,,,,,,,,,,
4823,174,2006,28,3,Burdwood,,chum,39,,,,,,,,0,,,,,,,,,,,,,,,,,,
4824,174,2006,28,3,Burdwood,,chum,42,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4825,174,2006,28,3,Burdwood,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4826,174,2006,28,3,Burdwood,,pink,31,,,,,,,,0,,,,,,,,,,,,,,,,,,
4827,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4828,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4829,174,2006,28,3,Burdwood,,pink,32,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4830,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4831,174,2006,28,3,Burdwood,,pink,32,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4832,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4833,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4834,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4835,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4836,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4837,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4838,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4839,174,2006,28,3,Burdwood,,pink,32,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4840,174,2006,28,3,Burdwood,,pink,32,,1,1,,,,,0,,,,,,,,,,,,,,,,,,
4841,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4842,174,2006,28,3,Burdwood,,pink,32,,4,,,,,,0,,,,,,,,,,,,,,,,,,
4843,174,2006,28,3,Burdwood,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
4844,174,2006,28,3,Burdwood,,pink,33,,,,,,,,0,,,,,,,,,,,,,,,,,,
4845,174,2006,28,3,Burdwood,,pink,33,,1,,,,,,0,,,,,,,,,,,,,,,,,,
