farm,year,month,day,lice,pen,num_fish
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,1,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,1,1,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,1,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,1,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,2,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,1,0,1
SP,2005,12,30,0,0,1
SP,2005,12,30,0,0,1
